fixture,meetings
Sri Lanka vs New Zealand,2
South Africa vs Royal Challengers Bengaluru,2
Pakistan vs Punjab Kings,2
Pakistan vs New Zealand,2
Chennai Super Kings vs Mumbai Indians,2
Bangladesh vs South Africa,2
West Indies vs Pakistan,1
West Indies vs Netherlands,1
West Indies vs Kolkata Knight Riders,1
West Indies vs India,1
Sunrisers Hyderabad vs Royal Challengers Bengaluru,1
Sunrisers Hyderabad vs Pakistan,1
Sunrisers Hyderabad vs Australia,1
Sri Lanka vs Netherlands,1
Sri Lanka vs Kolkata Knight Riders,1
Sri Lanka vs Chennai Super Kings,1
Sri Lanka vs Bangladesh,1
South Africa vs Sunrisers Hyderabad,1
Royal Challengers Bengaluru vs Pakistan,1
Royal Challengers Bengaluru vs Chennai Super Kings,1
