venue,winner,wins
Chepauk,Gujarat Titans,2
Chinnaswamy,Netherlands,2
Eden Gardens,West Indies,2
Ahmedabad,Kolkata Knight Riders,1
Ahmedabad,Royal Challengers Bengaluru,1
Chepauk,Kolkata Knight Riders,1
Chepauk,Pakistan,1
Chepauk,South Africa,1
Chinnaswamy,Bangladesh,1
Chinnaswamy,Chennai Super Kings,1
Chinnaswamy,Ireland,1
Chinnaswamy,Kolkata Knight Riders,1
Chinnaswamy,South Africa,1
Chinnaswamy,Sunrisers Hyderabad,1
Eden Gardens,Bangladesh,1
Eden Gardens,India,1
Eden Gardens,Sri Lanka,1
Lords,India,1
MCG,New Zealand,1
MCG,Punjab Kings,1
Optus,Australia,1
Optus,India,1
Optus,New Zealand,1
Optus,Pakistan,1
Optus,Royal Challengers Bengaluru,1
